"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"47",5,"Elijah Mitchell",SF,"RB22","9","2 out of 5 stars","+2"
"48",5,"Patrick Mahomes II",KC,"QB3","8","2 out of 5 stars","-14"
"49",5,"George Kittle",SF,"TE4","9","4 out of 5 stars","-7"
"50",5,"AJ Dillon",GB,"RB23","14","3 out of 5 stars","+3"
"51",5,"Allen Robinson II",LAR,"WR21","7","2 out of 5 stars","+3"
"52",5,"DK Metcalf",SEA,"WR22","11","4 out of 5 stars","-2"
"53",5,"Lamar Jackson",BAL,"QB4","10","2 out of 5 stars","-7"
"54",5,"Josh Jacobs",LV,"RB24","6","2 out of 5 stars","-9"
"55",5,"Darren Waller",LV,"TE5","6","2 out of 5 stars","-7"
"56",5,"Marquise Brown",ARI,"WR23","13","2 out of 5 stars","+2"
"57",6,"Darnell Mooney",CHI,"WR24","14","3 out of 5 stars","+15"
"58",6,"Jerry Jeudy",DEN,"WR25","9","4 out of 5 stars","-3"
"59",6,"Kyler Murray",ARI,"QB5","13","2 out of 5 stars","-3"
"60",6,"Michael Thomas",NO,"WR26","14","4 out of 5 stars","+10"
"61",6,"Jalen Hurts",PHI,"QB6","7","4 out of 5 stars","+4"
"62",6,"Rashod Bateman",BAL,"WR27","10","3 out of 5 stars","+18"
"63",6,"Gabriel Davis",BUF,"WR28","7","4 out of 5 stars","+5"
"64",6,"Clyde Edwards-Helaire",KC,"RB25","8","3 out of 5 stars","+2"
"65",6,"Antonio Gibson",WAS,"RB26","14","4 out of 5 stars","-8"
"66",6,"Dalton Schultz",DAL,"TE6","9","3 out of 5 stars","-7"
"67",6,"Chase Edmonds",MIA,"RB27","11","4 out of 5 stars","+20"
"68",6,"Damien Harris",NE,"RB28","10","4 out of 5 stars","-5"
"69",6,"Chris Godwin",TB,"WR29","11","4 out of 5 stars","+2"
"70",6,"Amon-Ra St. Brown",DET,"WR30","6","3 out of 5 stars","-8"
"71",6,"Miles Sanders",PHI,"RB29","7","3 out of 5 stars","+2"
"72",6,"JuJu Smith-Schuster",KC,"WR31","8","2 out of 5 stars","-3"
"73",6,"Amari Cooper",CLE,"WR32","9","4 out of 5 stars","-9"
"74",6,"Kareem Hunt",CLE,"RB30","9","3 out of 5 stars","+10"
"75",6,"Elijah Moore",NYJ,"WR33","10","1 out of 5 stars","+6"
"76",6,"Rashaad Penny",SEA,"RB31","11","2 out of 5 stars","+9"
"77",6,"Joe Burrow",CIN,"QB7","10","2 out of 5 stars","-25"
"78",6,"Tony Pollard",DAL,"RB32","9","4 out of 5 stars","+8"
"79",6,"Rhamondre Stevenson",NE,"RB33","10","4 out of 5 stars","+15"
"80",6,"Adam Thielen",MIN,"WR34","7","2 out of 5 stars","-6"
"81",7,"T.J. Hockenson",DET,"TE7","6","4 out of 5 stars","-14"
"82",7,"Dallas Goedert",PHI,"TE8","7","2 out of 5 stars","-7"
"83",7,"Tom Brady",TB,"QB8","11","3 out of 5 stars","-4"
"84",7,"Cordarrelle Patterson",ATL,"RB34","14","1 out of 5 stars","-2"
"85",7,"Devin Singletary",BUF,"RB35","7","4 out of 5 stars","-7"
"86",7,"Russell Wilson",DEN,"QB9","9","4 out of 5 stars","-10"
"87",7,"Melvin Gordon III",DEN,"RB36","9","3 out of 5 stars","+11"
"88",7,"Dak Prescott",DAL,"QB10","9","3 out of 5 stars","-11"
"89",7,"Brandon Aiyuk",SF,"WR35","9","3 out of 5 stars","+7"
"90",7,"DeVonta Smith",PHI,"WR36","7","4 out of 5 stars","-1"
"91",7,"Drake London",ATL,"WR37","14","4 out of 5 stars","+8"
"92",7,"Allen Lazard",GB,"WR38","14","3 out of 5 stars","+11"
"93",7,"Trey Lance",SF,"QB11","9","3 out of 5 stars","+7"
"94",7,"Ken Walker III",SEA,"RB37","11","2 out of 5 stars","-6"
"95",7,"Zach Ertz",ARI,"TE9","13","3 out of 5 stars","-4"
"96",7,"Hunter Renfrow",LV,"WR39","6","2 out of 5 stars","-13"
"97",7,"Matthew Stafford",LAR,"QB12","7","3 out of 5 stars","-4"
"98",7,"Tyler Lockett",SEA,"WR40","11","4 out of 5 stars","-3"
"99",7,"Christian Kirk",JAC,"WR41","11","4 out of 5 stars","+3"
"100",7,"Dameon Pierce",HOU,"RB38","6","3 out of 5 stars","+14"
"101",7,"Aaron Rodgers",GB,"QB13","14","2 out of 5 stars","-9"
"102",7,"James Cook",BUF,"RB39","7","4 out of 5 stars","+2"
"103",7,"DeAndre Hopkins",ARI,"WR42","13","2 out of 5 stars","-6"
"104",7,"Dawson Knox",BUF,"TE10","7","3 out of 5 stars","-14"
"105",7,"Robert Woods",TEN,"WR43","6","3 out of 5 stars","0"
"106",7,"Kadarius Toney",NYG,"WR44","9","4 out of 5 stars","+12"
