year,week,team_winner,manager_winner,team_loser,manager_loser,score_winner,score_loser
2020,1,MKx,Marc,StumpfistTrumpf,Stumpf,154.18,125.36
2020,1,AllTimeReadyPat,Patrick,Hammichan,Ha,112.44,111.76
2020,1,Speasy,Speasy,Blitzkoerper85,Tobsenheimi,144.5,124.78
2020,2,TheRealBauer,Bauer,Hammichan,Ha,136.34,100.58
2020,2,Hubner,Hubner,Speasy,Speasy,138.06,136.42
2020,2,Blitzkoerper85,Tobsenheimi,MarkusEXperte,Markus,152.2,129.18
2020,2,AllTimeReadyPat,Patrick,MKx,Marc,171.3,140.22
2020,2,StumpfistTrumpf,Stumpf,seb44,Hagen,124.8,98.48
2020,3,TheRealBauer,Bauer,AllTimeReadyPat,Patrick,122.5,108.18
2020,3,Hubner,Hubner,StumpfistTrumpf,Stumpf,158.88,96.22
2020,3,MarkusEXperte,Markus,MKx,Marc,149,141.4
2020,3,Speasy,Speasy,Hammichan,Ha,160.52,78.44
2020,3,seb44,Hagen,Blitzkoerper85,Tobsenheimi,140.62,131.34
2020,4,TheRealBauer,Bauer,Speasy,Speasy,146.72,106.8
2020,4,AllTimeReadyPat,Patrick,Hubner,Hubner,132.68,114.82
2020,4,StumpfistTrumpf,Stumpf,MarkusEXperte,Markus,155.38,122.54
2020,4,MKx,Marc,Blitzkoerper85,Tobsenheimi,132.3,101.42
2020,4,Hammichan,Ha,seb44,Hagen,111.6,105.54
2020,5,MarkusEXperte,Markus,TheRealBauer,Bauer,141.8,115.4
2020,5,Hammichan,Ha,Hubner,Hubner,137.36,122.3
2020,5,MKx,Marc,seb44,Hagen,128.38,97.5
2020,5,Blitzkoerper85,Tobsenheimi,StumpfistTrumpf,Stumpf,125.32,118.52
2020,5,Speasy,Speasy,AllTimeReadyPat,Patrick,140.44,104.96
2020,6,Hubner,Hubner,TheRealBauer,Bauer,153.94,136.02
2020,6,MarkusEXperte,Markus,MKx,Marc,122.1,56.28
2020,6,Speasy,Speasy,Hammichan,Ha,117.04,116.6
2020,6,AllTimeReadyPat,Patrick,Blitzkoerper85,Tobsenheimi,96.14,87.58
2020,6,seb44,Hagen,StumpfistTrumpf,Stumpf,193.14,119.9
2020,7,TheRealBauer,Bauer,Hammichan,Ha,120.8,95.66
2020,7,Hubner,Hubner,Speasy,Speasy,143.7,97.02
2020,7,StumpfistTrumpf,Stumpf,MarkusEXperte,Markus,170.52,111.2
2020,7,Blitzkoerper85,Tobsenheimi,MKx,Marc,163.88,82.72
2020,7,AllTimeReadyPat,Patrick,seb44,Hagen,124.76,107.7
2020,8,TheRealBauer,Bauer,Speasy,Speasy,134.76,126.12
2020,8,MKx,Marc,Hubner,Hubner,104.74,99.52
2020,8,MarkusEXperte,Markus,seb44,Hagen,207.74,112.32
2020,8,AllTimeReadyPat,Patrick,Hammichan,Ha,96.36,85.44
2020,8,StumpfistTrumpf,Stumpf,Blitzkoerper85,Tobsenheimi,103.64,95.86
2020,9,TheRealBauer,Bauer,AllTimeReadyPat,Patrick,131.82,76.46
2020,9,Hubner,Hubner,Hammichan,Ha,95.9,92.24
2020,9,Speasy,Speasy,MarkusEXperte,Markus,173.14,167.48
